Total,Percentage,Q1_KEY_C,Q2_KEY_B,Q2.2_KEY_B,Q4_KEY_B,Q4.2_KEY_B,Q4.3_KEY_B,Q8_NOKEY,Q9_NOKEY,Q10_NOKEY,Q13_KEY_E,Q14_NOKEY,Q15_NOKEY,Q15.2_NOKEY,Q18_KEY_A,Q19_KEY_A,Q19_KEY_B,researchID
2,100%,C,B,C,B,B,NV,B,C,B,A,C,B,B,A,B,B,ab70
2,100%,C,C,C,B,B,A,C,B,C,E,B,B,NV,A,A,B,as160
2,100%,B,B,C,B,NV,A,A,B,C,NV,C,B,NV,A,A,B,bb33
2,100%,C,B,B,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,ca62
2,100%,C,C,C,B,A,B,B,B,C,D,C,B,B,B,A,B,cd102
2,100%,B,C,C,B,B,B,B,C,B,E,C,B,B,A,A,B,ce138
2,100%,B,C,A,B,B,B,B,C,C,NV,C,B,B,A,A,B,cj85
2,100%,B,B,C,C,B,B,B,B,C,E,C,B,B,A,A,B,cq54
2,100%,C,B,C,B,B,B,C,B,C,E,C,A,B,A,A,B,cx93
0,0%,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,dr56
2,100%,C,A,B,B,A,NV,B,B,C,E,C,B,NV,A,A,B,eu125
2,100%,NV,A,A,C,B,B,B,A,C,E,C,A,A,A,A,A,ev22
2,100%,C,B,C,B,C,NV,B,C,C,E,C,A,NV,NV,A,B,fs47
2,100%,C,B,NV,B,A,A,B,NV,NV,C,NV,A,NV,B,NV,B,gr7
2,100%,B,B,C,C,B,B,C,C,C,D,D,C,NV,A,A,C,hl94
2,100%,C,A,A,B,A,B,B,B,C,E,C,B,B,A,A,B,ho117
2,100%,C,B,B,B,A,B,A,B,C,E,C,A,B,A,A,B,ij80
2,100%,C,B,C,C,NV,B,B,C,NV,D,D,C,A,A,NV,B,il134
2,100%,B,C,C,B,NV,A,B,B,C,E,C,B,B,A,A,B,jh167
2,100%,C,C,B,B,B,B,B,C,C,E,C,B,B,A,A,B,jr82
2,100%,C,C,C,B,A,A,B,A,C,NV,C,B,B,A,A,B,kc69
2,100%,C,B,C,C,A,A,B,A,C,E,C,B,B,B,A,B,kk83
2,100%,C,B,NV,B,A,A,B,C,NV,E,C,NV,B,A,NV,B,kq149
2,100%,C,A,B,B,B,B,B,C,A,C,B,B,B,B,B,C,lp16
2,100%,C,B,B,C,A,B,B,C,NV,E,C,B,B,A,NV,C,mk6
0,0%,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,mn113
2,100%,C,B,C,B,B,A,B,A,C,C,C,A,A,B,A,C,ne71
0,0%,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,qk1
2,100%,C,B,NV,B,A,A,NV,NV,C,D,NV,B,NV,A,A,NV,qs140
2,100%,C,A,A,B,B,B,B,C,C,E,D,B,B,A,B,B,sa106
2,100%,C,C,C,B,A,B,A,B,C,E,B,A,B,A,A,B,sc108
2,100%,B,B,C,C,A,A,B,NV,C,E,C,A,B,A,A,B,se121
2,100%,C,B,C,B,A,A,B,B,C,E,C,B,B,C,A,B,tb139
2,100%,C,C,C,C,A,A,B,C,NV,B,C,A,B,A,A,B,tl104
2,100%,C,C,C,C,A,B,A,B,C,E,C,B,B,A,A,A,vk37
2,100%,C,C,NV,B,B,NV,A,B,C,E,C,A,NV,A,A,B,wh38
2,100%,C,C,B,B,B,B,B,C,A,E,C,A,B,A,A,NV,wz10
2,100%,C,B,C,A,C,B,C,A,B,C,C,A,A,A,A,B,xu128
2,100%,C,C,C,B,B,B,A,B,B,E,B,B,B,A,A,B,ya79
2,100%,C,C,C,B,A,B,B,C,A,E,C,B,B,A,A,B,ya8
2,100%,C,B,C,B,B,B,A,B,C,E,C,B,B,A,A,B,yb118
2,100%,C,B,B,C,A,B,C,B,B,E,C,B,B,A,A,B,yb87
2,100%,C,B,C,B,B,B,C,B,C,E,C,B,B,A,A,B,yd105
0,0%,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,za95
2,100%,C,B,C,B,A,A,B,B,C,E,D,B,B,C,NV,B,zf127
2,100%,C,C,C,B,C,B,C,B,C,A,C,B,B,A,A,B,zu23
2,100%,C,NV,C,NV,NV,NV,NV,NV,NV,E,NV,NV,NV,NV,NV,NV,zz133
